@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
61,2543,0,35302,20402,0.633743,1,0.067195,1,0.932805,0.125928,0.649733,1.539094,0
62,2543,0,35301,20403,0.633725,1,0.067197,1,0.932803,0.125932,0.649716,1.539134,0
63,2543,0,35300,20404,0.633707,1,0.067199,1,0.932801,0.125935,0.649699,1.539175,0
64,2543,0,35299,20405,0.633689,1,0.0672,1,0.9328,0.125938,0.649682,1.539216,0
65,2543,0,35298,20406,0.633671,1,0.067202,1,0.932798,0.125941,0.649664,1.539256,0
66,2543,0,35297,20407,0.633653,1,0.067204,1,0.932796,0.125944,0.649647,1.539297,0
67,2543,0,35296,20408,0.633635,1,0.067206,1,0.932794,0.125947,0.64963,1.539338,0
68,2543,0,35295,20409,0.633617,1,0.067208,1,0.932792,0.12595,0.649613,1.539378,0
69,2543,0,35294,20410,0.633599,1,0.067209,1,0.932791,0.125953,0.649596,1.539419,0
70,2543,0,35293,20411,0.633581,1,0.067211,1,0.932789,0.125957,0.649579,1.53946,0
71,2543,0,35292,20412,0.633563,1,0.067213,1,0.932787,0.12596,0.649561,1.5395,0
72,2543,0,35291,20413,0.633545,1,0.067215,1,0.932785,0.125963,0.649544,1.539541,0
73,2543,0,35290,20414,0.633527,1,0.067216,1,0.932784,0.125966,0.649527,1.539582,0
74,2543,0,35289,20415,0.633509,1,0.067218,1,0.932782,0.125969,0.64951,1.539623,0
75,2543,0,35288,20416,0.633491,1,0.06722,1,0.93278,0.125972,0.649493,1.539663,0
76,2543,0,35287,20417,0.633473,1,0.067222,1,0.932778,0.125975,0.649476,1.539704,0
77,2543,0,35286,20418,0.633455,1,0.067224,1,0.932776,0.125978,0.649458,1.539745,0
78,2543,0,35285,20419,0.633437,1,0.067225,1,0.932775,0.125982,0.649441,1.539785,0
79,2543,0,35284,20420,0.63342,1,0.067227,1,0.932773,0.125985,0.649424,1.539826,0
80,2543,0,35283,20421,0.633402,1,0.067229,1,0.932771,0.125988,0.649407,1.539867,0
81,2543,0,35282,20422,0.633384,1,0.067231,1,0.932769,0.125991,0.64939,1.539907,0
82,2543,0,35281,20423,0.633366,1,0.067232,1,0.932768,0.125994,0.649372,1.539948,0
83,2543,0,35280,20424,0.633348,1,0.067234,1,0.932766,0.125997,0.649355,1.539989,0
84,2543,0,35279,20425,0.63333,1,0.067236,1,0.932764,0.126,0.649338,1.54003,0
85,2543,0,35278,20426,0.633312,1,0.067238,1,0.932762,0.126003,0.649321,1.54007,0
86,2543,0,35277,20427,0.633294,1,0.06724,1,0.93276,0.126006,0.649304,1.540111,0
87,2543,0,35276,20428,0.633276,1,0.067241,1,0.932759,0.12601,0.649287,1.540152,0
88,2543,0,35275,20429,0.633258,1,0.067243,1,0.932757,0.126013,0.649269,1.540193,0
89,2543,0,35274,20430,0.63324,1,0.067245,1,0.932755,0.126016,0.649252,1.540233,0
90,2543,0,35273,20431,0.633222,1,0.067247,1,0.932753,0.126019,0.649235,1.540274,0
91,2543,0,35272,20432,0.633204,1,0.067248,1,0.932752,0.126022,0.649218,1.540315,0
92,2543,0,35271,20433,0.633186,1,0.06725,1,0.93275,0.126025,0.649201,1.540355,0
93,2543,0,35270,20434,0.633168,1,0.067252,1,0.932748,0.126028,0.649184,1.540396,0
94,2543,0,35269,20435,0.63315,1,0.067254,1,0.932746,0.126031,0.649166,1.540437,0
95,2543,0,35268,20436,0.633132,1,0.067256,1,0.932744,0.126035,0.649149,1.540478,0
96,2543,0,35267,20437,0.633114,1,0.067257,1,0.932743,0.126038,0.649132,1.540518,0
