@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
3438,2543,0,31925,23779,0.573119,1,0.073779,1,0.926221,0.137419,0.591756,1.689886,0
3439,2543,0,31924,23780,0.573101,1,0.073781,1,0.926219,0.137422,0.591739,1.689935,0
3440,2543,0,31923,23781,0.573083,1,0.073783,1,0.926217,0.137426,0.591721,1.689984,0
3441,2543,0,31922,23782,0.573065,1,0.073785,1,0.926215,0.13743,0.591704,1.690033,0
3442,2543,0,31921,23783,0.573047,1,0.073787,1,0.926213,0.137433,0.591687,1.690082,0
3443,2543,0,31920,23784,0.573029,1,0.073789,1,0.926211,0.137437,0.59167,1.690131,0
3444,2543,0,31919,23785,0.573011,1,0.073791,1,0.926209,0.137441,0.591653,1.69018,0
3445,2543,0,31918,23786,0.572993,1,0.073794,1,0.926206,0.137445,0.591636,1.69023,0
3446,2543,0,31917,23787,0.572975,1,0.073796,1,0.926204,0.137448,0.591618,1.690279,0
3447,2543,0,31916,23788,0.572957,1,0.073798,1,0.926202,0.137452,0.591601,1.690328,0
3448,2543,0,31915,23789,0.572939,1,0.0738,1,0.9262,0.137456,0.591584,1.690377,0
3449,2543,0,31914,23790,0.572921,1,0.073802,1,0.926198,0.137459,0.591567,1.690426,0
3450,2543,0,31913,23791,0.572903,1,0.073804,1,0.926196,0.137463,0.59155,1.690475,0
3451,2543,0,31912,23792,0.572885,1,0.073806,1,0.926194,0.137467,0.591533,1.690524,0
3452,2543,0,31911,23793,0.572867,1,0.073809,1,0.926191,0.137471,0.591515,1.690573,0
3453,2543,0,31910,23794,0.572849,1,0.073811,1,0.926189,0.137474,0.591498,1.690622,0
3454,2543,0,31909,23795,0.572831,1,0.073813,1,0.926187,0.137478,0.591481,1.690671,0
3455,2543,0,31908,23796,0.572813,1,0.073815,1,0.926185,0.137482,0.591464,1.69072,0
3456,2543,0,31907,23797,0.572795,1,0.073817,1,0.926183,0.137485,0.591447,1.690769,0
3457,2543,0,31906,23798,0.572778,1,0.073819,1,0.926181,0.137489,0.59143,1.690818,0
3458,2543,0,31905,23799,0.57276,1,0.073821,1,0.926179,0.137493,0.591412,1.690867,0
3459,2543,0,31904,23800,0.572742,1,0.073824,1,0.926176,0.137497,0.591395,1.690916,0
3460,2543,0,31903,23801,0.572724,1,0.073826,1,0.926174,0.1375,0.591378,1.690966,0
3461,2543,0,31902,23802,0.572706,1,0.073828,1,0.926172,0.137504,0.591361,1.691015,0
3462,2543,0,31901,23803,0.572688,1,0.07383,1,0.92617,0.137508,0.591344,1.691064,0
3463,2543,0,31900,23804,0.57267,1,0.073832,1,0.926168,0.137511,0.591327,1.691113,0
3464,2543,0,31899,23805,0.572652,1,0.073834,1,0.926166,0.137515,0.591309,1.691162,0
3465,2543,0,31898,23806,0.572634,1,0.073836,1,0.926164,0.137519,0.591292,1.691211,0
3466,2543,0,31897,23807,0.572616,1,0.073839,1,0.926161,0.137523,0.591275,1.69126,0
3467,2543,0,31896,23808,0.572598,1,0.073841,1,0.926159,0.137526,0.591258,1.691309,0
3468,2543,0,31895,23809,0.57258,1,0.073843,1,0.926157,0.13753,0.591241,1.691358,0
3469,2543,0,31894,23810,0.572562,1,0.073845,1,0.926155,0.137534,0.591224,1.691407,0
3470,2543,0,31893,23811,0.572544,1,0.073847,1,0.926153,0.137538,0.591206,1.691457,0
3471,2543,0,31892,23812,0.572526,1,0.073849,1,0.926151,0.137541,0.591189,1.691506,0
3472,2543,0,31891,23813,0.572508,1,0.073851,1,0.926149,0.137545,0.591172,1.691555,0
3473,2543,0,31890,23814,0.57249,1,0.073854,1,0.926146,0.137549,0.591155,1.691604,0
3474,2543,0,31889,23815,0.572472,1,0.073856,1,0.926144,0.137552,0.591138,1.691653,0
3475,2543,0,31888,23816,0.572454,1,0.073858,1,0.926142,0.137556,0.591121,1.691702,0
3476,2543,0,31887,23817,0.572436,1,0.07386,1,0.92614,0.13756,0.591103,1.691751,0
3477,2543,0,31886,23818,0.572418,1,0.073862,1,0.926138,0.137564,0.591086,1.691801,0
3478,2543,0,31885,23819,0.572401,1,0.073864,1,0.926136,0.137567,0.591069,1.69185,0
3479,2543,0,31884,23820,0.572383,1,0.073866,1,0.926134,0.137571,0.591052,1.691899,0
3480,2543,0,31883,23821,0.572365,1,0.073869,1,0.926131,0.137575,0.591035,1.691948,0
3481,2543,0,31882,23822,0.572347,1,0.073871,1,0.926129,0.137578,0.591018,1.691997,0
3482,2543,0,31881,23823,0.572329,1,0.073873,1,0.926127,0.137582,0.591,1.692046,0
3483,2543,0,31880,23824,0.572311,1,0.073875,1,0.926125,0.137586,0.590983,1.692095,0
3484,2543,0,31879,23825,0.572293,1,0.073877,1,0.926123,0.13759,0.590966,1.692145,0
3485,2543,0,31878,23826,0.572275,1,0.073879,1,0.926121,0.137593,0.590949,1.692194,0
3486,2543,0,31877,23827,0.572257,1,0.073881,1,0.926119,0.137597,0.590932,1.692243,0
3487,2543,0,31876,23828,0.572239,1,0.073884,1,0.926116,0.137601,0.590915,1.692292,0
3488,2543,0,31875,23829,0.572221,1,0.073886,1,0.926114,0.137605,0.590897,1.692341,0
3489,2543,0,31874,23830,0.572203,1,0.073888,1,0.926112,0.137608,0.59088,1.69239,0
3490,2543,0,31873,23831,0.572185,1,0.07389,1,0.92611,0.137612,0.590863,1.69244,0
3491,2543,0,31872,23832,0.572167,1,0.073892,1,0.926108,0.137616,0.590846,1.692489,0
3492,2543,0,31871,23833,0.572149,1,0.073894,1,0.926106,0.137619,0.590829,1.692538,0
3493,2543,0,31870,23834,0.572131,1,0.073896,1,0.926104,0.137623,0.590812,1.692587,0
3494,2543,0,31869,23835,0.572113,1,0.073899,1,0.926101,0.137627,0.590794,1.692636,0
3495,2543,0,31868,23836,0.572095,1,0.073901,1,0.926099,0.137631,0.590777,1.692685,0
3496,2543,0,31867,23837,0.572077,1,0.073903,1,0.926097,0.137634,0.59076,1.692735,0
3497,2543,0,31866,23838,0.572059,1,0.073905,1,0.926095,0.137638,0.590743,1.692784,0
3498,2543,0,31865,23839,0.572042,1,0.073907,1,0.926093,0.137642,0.590726,1.692833,0
3499,2543,0,31864,23840,0.572024,1,0.073909,1,0.926091,0.137645,0.590709,1.692882,0
3500,2543,0,31863,23841,0.572006,1,0.073912,1,0.926088,0.137649,0.590691,1.692931,0
3501,2543,0,31862,23842,0.571988,1,0.073914,1,0.926086,0.137653,0.590674,1.692981,0
3502,2543,0,31861,23843,0.57197,1,0.073916,1,0.926084,0.137657,0.590657,1.69303,0
3503,2543,0,31860,23844,0.571952,1,0.073918,1,0.926082,0.13766,0.59064,1.693079,0
3504,2543,0,31859,23845,0.571934,1,0.07392,1,0.92608,0.137664,0.590623,1.693128,0
3505,2543,0,31858,23846,0.571916,1,0.073922,1,0.926078,0.137668,0.590606,1.693178,0
3506,2543,0,31857,23847,0.571898,1,0.073924,1,0.926076,0.137672,0.590588,1.693227,0
3507,2543,0,31856,23848,0.57188,1,0.073927,1,0.926073,0.137675,0.590571,1.693276,0
3508,2543,0,31855,23849,0.571862,1,0.073929,1,0.926071,0.137679,0.590554,1.693325,0
3509,2543,0,31854,23850,0.571844,1,0.073931,1,0.926069,0.137683,0.590537,1.693374,0
3510,2543,0,31853,23851,0.571826,1,0.073933,1,0.926067,0.137686,0.59052,1.693424,0
3511,2543,0,31852,23852,0.571808,1,0.073935,1,0.926065,0.13769,0.590503,1.693473,0
3512,2543,0,31851,23853,0.57179,1,0.073937,1,0.926063,0.137694,0.590485,1.693522,0
3513,2543,0,31850,23854,0.571772,1,0.073939,1,0.926061,0.137698,0.590468,1.693571,0
3514,2543,0,31849,23855,0.571754,1,0.073942,1,0.926058,0.137701,0.590451,1.693621,0
3515,2543,0,31848,23856,0.571736,1,0.073944,1,0.926056,0.137705,0.590434,1.69367,0
3516,2543,0,31847,23857,0.571718,1,0.073946,1,0.926054,0.137709,0.590417,1.693719,0
3517,2543,0,31846,23858,0.5717,1,0.073948,1,0.926052,0.137713,0.5904,1.693768,0
3518,2543,0,31845,23859,0.571682,1,0.07395,1,0.92605,0.137716,0.590382,1.693818,0
3519,2543,0,31844,23860,0.571665,1,0.073952,1,0.926048,0.13772,0.590365,1.693867,0
3520,2543,0,31843,23861,0.571647,1,0.073955,1,0.926045,0.137724,0.590348,1.693916,0
3521,2543,0,31842,23862,0.571629,1,0.073957,1,0.926043,0.137727,0.590331,1.693965,0
3522,2543,0,31841,23863,0.571611,1,0.073959,1,0.926041,0.137731,0.590314,1.694015,0
3523,2543,0,31840,23864,0.571593,1,0.073961,1,0.926039,0.137735,0.590296,1.694064,0
3524,2543,0,31839,23865,0.571575,1,0.073963,1,0.926037,0.137739,0.590279,1.694113,0
3525,2543,0,31838,23866,0.571557,1,0.073965,1,0.926035,0.137742,0.590262,1.694162,0
3526,2543,0,31837,23867,0.571539,1,0.073967,1,0.926033,0.137746,0.590245,1.694212,0
3527,2543,0,31836,23868,0.571521,1,0.07397,1,0.92603,0.13775,0.590228,1.694261,0
3528,2543,0,31835,23869,0.571503,1,0.073972,1,0.926028,0.137754,0.590211,1.69431,0
3529,2543,0,31834,23870,0.571485,1,0.073974,1,0.926026,0.137757,0.590193,1.69436,0
3530,2543,0,31833,23871,0.571467,1,0.073976,1,0.926024,0.137761,0.590176,1.694409,0
3531,2543,0,31832,23872,0.571449,1,0.073978,1,0.926022,0.137765,0.590159,1.694458,0
3532,2543,0,31831,23873,0.571431,1,0.07398,1,0.92602,0.137769,0.590142,1.694507,0
3533,2543,0,31830,23874,0.571413,1,0.073982,1,0.926018,0.137772,0.590125,1.694557,0
3534,2543,0,31829,23875,0.571395,1,0.073985,1,0.926015,0.137776,0.590108,1.694606,0
3535,2543,0,31828,23876,0.571377,1,0.073987,1,0.926013,0.13778,0.59009,1.694655,0
3536,2543,0,31827,23877,0.571359,1,0.073989,1,0.926011,0.137783,0.590073,1.694705,0
3537,2543,0,31826,23878,0.571341,1,0.073991,1,0.926009,0.137787,0.590056,1.694754,0
3538,2543,0,31825,23879,0.571323,1,0.073993,1,0.926007,0.137791,0.590039,1.694803,0
3539,2543,0,31824,23880,0.571305,1,0.073995,1,0.926005,0.137795,0.590022,1.694853,0
3540,2543,0,31823,23881,0.571288,1,0.073998,1,0.926002,0.137798,0.590005,1.694902,0
3541,2543,0,31822,23882,0.57127,1,0.074,1,0.926,0.137802,0.589987,1.694951,0
3542,2543,0,31821,23883,0.571252,1,0.074002,1,0.925998,0.137806,0.58997,1.695001,0
3543,2543,0,31820,23884,0.571234,1,0.074004,1,0.925996,0.13781,0.589953,1.69505,0
3544,2543,0,31819,23885,0.571216,1,0.074006,1,0.925994,0.137813,0.589936,1.695099,0
3545,2543,0,31818,23886,0.571198,1,0.074008,1,0.925992,0.137817,0.589919,1.695149,0
3546,2543,0,31817,23887,0.57118,1,0.07401,1,0.92599,0.137821,0.589902,1.695198,0
3547,2543,0,31816,23888,0.571162,1,0.074013,1,0.925987,0.137825,0.589884,1.695247,0
3548,2543,0,31815,23889,0.571144,1,0.074015,1,0.925985,0.137828,0.589867,1.695297,0
3549,2543,0,31814,23890,0.571126,1,0.074017,1,0.925983,0.137832,0.58985,1.695346,0
3550,2543,0,31813,23891,0.571108,1,0.074019,1,0.925981,0.137836,0.589833,1.695395,0
3551,2543,0,31812,23892,0.57109,1,0.074021,1,0.925979,0.137839,0.589816,1.695445,0
3552,2543,0,31811,23893,0.571072,1,0.074023,1,0.925977,0.137843,0.589799,1.695494,0
3553,2543,0,31810,23894,0.571054,1,0.074026,1,0.925974,0.137847,0.589781,1.695543,0
3554,2543,0,31809,23895,0.571036,1,0.074028,1,0.925972,0.137851,0.589764,1.695593,0
3555,2543,0,31808,23896,0.571018,1,0.07403,1,0.92597,0.137854,0.589747,1.695642,0
3556,2543,0,31807,23897,0.571,1,0.074032,1,0.925968,0.137858,0.58973,1.695691,0
3557,2543,0,31806,23898,0.570982,1,0.074034,1,0.925966,0.137862,0.589713,1.695741,0
3558,2543,0,31805,23899,0.570964,1,0.074036,1,0.925964,0.137866,0.589696,1.69579,0
3559,2543,0,31804,23900,0.570946,1,0.074038,1,0.925962,0.137869,0.589678,1.69584,0
3560,2543,0,31803,23901,0.570928,1,0.074041,1,0.925959,0.137873,0.589661,1.695889,0
3561,2543,0,31802,23902,0.570911,1,0.074043,1,0.925957,0.137877,0.589644,1.695938,0
3562,2543,0,31801,23903,0.570893,1,0.074045,1,0.925955,0.137881,0.589627,1.695988,0
3563,2543,0,31800,23904,0.570875,1,0.074047,1,0.925953,0.137884,0.58961,1.696037,0
3564,2543,0,31799,23905,0.570857,1,0.074049,1,0.925951,0.137888,0.589593,1.696086,0
3565,2543,0,31798,23906,0.570839,1,0.074051,1,0.925949,0.137892,0.589575,1.696136,0
3566,2543,0,31797,23907,0.570821,1,0.074054,1,0.925946,0.137896,0.589558,1.696185,0
3567,2543,0,31796,23908,0.570803,1,0.074056,1,0.925944,0.137899,0.589541,1.696235,0
3568,2543,0,31795,23909,0.570785,1,0.074058,1,0.925942,0.137903,0.589524,1.696284,0
3569,2543,0,31794,23910,0.570767,1,0.07406,1,0.92594,0.137907,0.589507,1.696333,0
3570,2543,0,31793,23911,0.570749,1,0.074062,1,0.925938,0.13791,0.58949,1.696383,0
3571,2543,0,31792,23912,0.570731,1,0.074064,1,0.925936,0.137914,0.589472,1.696432,0
3572,2543,0,31791,23913,0.570713,1,0.074067,1,0.925933,0.137918,0.589455,1.696482,0
3573,2543,0,31790,23914,0.570695,1,0.074069,1,0.925931,0.137922,0.589438,1.696531,0
3574,2543,0,31789,23915,0.570677,1,0.074071,1,0.925929,0.137925,0.589421,1.69658,0
3575,2543,0,31788,23916,0.570659,1,0.074073,1,0.925927,0.137929,0.589404,1.69663,0
3576,2543,0,31787,23917,0.570641,1,0.074075,1,0.925925,0.137933,0.589387,1.696679,0
3577,2543,0,31786,23918,0.570623,1,0.074077,1,0.925923,0.137937,0.589369,1.696729,0
3578,2543,0,31785,23919,0.570605,1,0.074079,1,0.925921,0.13794,0.589352,1.696778,0
3579,2543,0,31784,23920,0.570587,1,0.074082,1,0.925918,0.137944,0.589335,1.696828,0
3580,2543,0,31783,23921,0.570569,1,0.074084,1,0.925916,0.137948,0.589318,1.696877,0
3581,2543,0,31782,23922,0.570551,1,0.074086,1,0.925914,0.137952,0.589301,1.696926,0
3582,2543,0,31781,23923,0.570534,1,0.074088,1,0.925912,0.137955,0.589284,1.696976,0
3583,2543,0,31780,23924,0.570516,1,0.07409,1,0.92591,0.137959,0.589266,1.697025,0
3584,2543,0,31779,23925,0.570498,1,0.074092,1,0.925908,0.137963,0.589249,1.697075,0
3585,2543,0,31778,23926,0.57048,1,0.074095,1,0.925905,0.137967,0.589232,1.697124,0
3586,2543,0,31777,23927,0.570462,1,0.074097,1,0.925903,0.13797,0.589215,1.697174,0
3587,2543,0,31776,23928,0.570444,1,0.074099,1,0.925901,0.137974,0.589198,1.697223,0
3588,2543,0,31775,23929,0.570426,1,0.074101,1,0.925899,0.137978,0.589181,1.697273,0
3589,2543,0,31774,23930,0.570408,1,0.074103,1,0.925897,0.137982,0.589163,1.697322,0
3590,2543,0,31773,23931,0.57039,1,0.074105,1,0.925895,0.137985,0.589146,1.697371,0
3591,2543,0,31772,23932,0.570372,1,0.074108,1,0.925892,0.137989,0.589129,1.697421,0
3592,2543,0,31771,23933,0.570354,1,0.07411,1,0.92589,0.137993,0.589112,1.69747,0
3593,2543,0,31770,23934,0.570336,1,0.074112,1,0.925888,0.137997,0.589095,1.69752,0
3594,2543,0,31769,23935,0.570318,1,0.074114,1,0.925886,0.138,0.589078,1.697569,0
3595,2543,0,31768,23936,0.5703,1,0.074116,1,0.925884,0.138004,0.58906,1.697619,0
3596,2543,0,31767,23937,0.570282,1,0.074118,1,0.925882,0.138008,0.589043,1.697668,0
3597,2543,0,31766,23938,0.570264,1,0.07412,1,0.92588,0.138012,0.589026,1.697718,0
3598,2543,0,31765,23939,0.570246,1,0.074123,1,0.925877,0.138015,0.589009,1.697767,0
3599,2543,0,31764,23940,0.570228,1,0.074125,1,0.925875,0.138019,0.588992,1.697817,0
3600,2543,0,31763,23941,0.57021,1,0.074127,1,0.925873,0.138023,0.588975,1.697866,0
3601,2543,0,31762,23942,0.570192,1,0.074129,1,0.925871,0.138026,0.588957,1.697916,0
3602,2543,0,31761,23943,0.570174,1,0.074131,1,0.925869,0.13803,0.58894,1.697965,0
3603,2543,0,31760,23944,0.570157,1,0.074133,1,0.925867,0.138034,0.588923,1.698015,0
3604,2543,0,31759,23945,0.570139,1,0.074136,1,0.925864,0.138038,0.588906,1.698064,0
3605,2543,0,31758,23946,0.570121,1,0.074138,1,0.925862,0.138041,0.588889,1.698114,0
3606,2543,0,31757,23947,0.570103,1,0.07414,1,0.92586,0.138045,0.588872,1.698163,0
3607,2543,0,31756,23948,0.570085,1,0.074142,1,0.925858,0.138049,0.588854,1.698213,0
3608,2543,0,31755,23949,0.570067,1,0.074144,1,0.925856,0.138053,0.588837,1.698262,0
3609,2543,0,31754,23950,0.570049,1,0.074146,1,0.925854,0.138056,0.58882,1.698312,0
3610,2543,0,31753,23951,0.570031,1,0.074149,1,0.925851,0.13806,0.588803,1.698361,0
3611,2543,0,31752,23952,0.570013,1,0.074151,1,0.925849,0.138064,0.588786,1.698411,0
3612,2543,0,31751,23953,0.569995,1,0.074153,1,0.925847,0.138068,0.588769,1.69846,0
3613,2543,0,31750,23954,0.569977,1,0.074155,1,0.925845,0.138071,0.588751,1.69851,0
3614,2543,0,31749,23955,0.569959,1,0.074157,1,0.925843,0.138075,0.588734,1.698559,0
3615,2543,0,31748,23956,0.569941,1,0.074159,1,0.925841,0.138079,0.588717,1.698609,0
3616,2543,0,31747,23957,0.569923,1,0.074162,1,0.925838,0.138083,0.5887,1.698659,0
3617,2543,0,31746,23958,0.569905,1,0.074164,1,0.925836,0.138086,0.588683,1.698708,0
3618,2543,0,31745,23959,0.569887,1,0.074166,1,0.925834,0.13809,0.588666,1.698758,0
3619,2543,0,31744,23960,0.569869,1,0.074168,1,0.925832,0.138094,0.588648,1.698807,0
3620,2543,0,31743,23961,0.569851,1,0.07417,1,0.92583,0.138098,0.588631,1.698857,0
3621,2543,0,31742,23962,0.569833,1,0.074172,1,0.925828,0.138101,0.588614,1.698906,0
3622,2543,0,31741,23963,0.569815,1,0.074175,1,0.925825,0.138105,0.588597,1.698956,0
3623,2543,0,31740,23964,0.569798,1,0.074177,1,0.925823,0.138109,0.58858,1.699005,0
3624,2543,0,31739,23965,0.56978,1,0.074179,1,0.925821,0.138113,0.588563,1.699055,0
3625,2543,0,31738,23966,0.569762,1,0.074181,1,0.925819,0.138116,0.588545,1.699104,0
3626,2543,0,31737,23967,0.569744,1,0.074183,1,0.925817,0.13812,0.588528,1.699154,0
3627,2543,0,31736,23968,0.569726,1,0.074185,1,0.925815,0.138124,0.588511,1.699204,0
3628,2543,0,31735,23969,0.569708,1,0.074188,1,0.925812,0.138128,0.588494,1.699253,0
3629,2543,0,31734,23970,0.56969,1,0.07419,1,0.92581,0.138131,0.588477,1.699303,0
3630,2543,0,31733,23971,0.569672,1,0.074192,1,0.925808,0.138135,0.588459,1.699352,0
3631,2543,0,31732,23972,0.569654,1,0.074194,1,0.925806,0.138139,0.588442,1.699402,0
3632,2543,0,31731,23973,0.569636,1,0.074196,1,0.925804,0.138143,0.588425,1.699451,0
3633,2543,0,31730,23974,0.569618,1,0.074198,1,0.925802,0.138146,0.588408,1.699501,0
3634,2543,0,31729,23975,0.5696,1,0.074201,1,0.925799,0.13815,0.588391,1.699551,0
3635,2543,0,31728,23976,0.569582,1,0.074203,1,0.925797,0.138154,0.588374,1.6996,0
3636,2543,0,31727,23977,0.569564,1,0.074205,1,0.925795,0.138158,0.588356,1.69965,0
3637,2543,0,31726,23978,0.569546,1,0.074207,1,0.925793,0.138161,0.588339,1.699699,0
3638,2543,0,31725,23979,0.569528,1,0.074209,1,0.925791,0.138165,0.588322,1.699749,0
3639,2543,0,31724,23980,0.56951,1,0.074211,1,0.925789,0.138169,0.588305,1.699799,0
3640,2543,0,31723,23981,0.569492,1,0.074214,1,0.925786,0.138173,0.588288,1.699848,0
3641,2543,0,31722,23982,0.569474,1,0.074216,1,0.925784,0.138176,0.588271,1.699898,0
3642,2543,0,31721,23983,0.569456,1,0.074218,1,0.925782,0.13818,0.588253,1.699947,0
3643,2543,0,31720,23984,0.569438,1,0.07422,1,0.92578,0.138184,0.588236,1.699997,0
3644,2543,0,31719,23985,0.569421,1,0.074222,1,0.925778,0.138188,0.588219,1.700047,0
3645,2543,0,31718,23986,0.569403,1,0.074224,1,0.925776,0.138192,0.588202,1.700096,0
3646,2543,0,31717,23987,0.569385,1,0.074227,1,0.925773,0.138195,0.588185,1.700146,0
3647,2543,0,31716,23988,0.569367,1,0.074229,1,0.925771,0.138199,0.588168,1.700196,0
3648,2543,0,31715,23989,0.569349,1,0.074231,1,0.925769,0.138203,0.58815,1.700245,0
3649,2543,0,31714,23990,0.569331,1,0.074233,1,0.925767,0.138207,0.588133,1.700295,0
3650,2543,0,31713,23991,0.569313,1,0.074235,1,0.925765,0.13821,0.588116,1.700344,0
3651,2543,0,31712,23992,0.569295,1,0.074237,1,0.925763,0.138214,0.588099,1.700394,0
3652,2543,0,31711,23993,0.569277,1,0.07424,1,0.92576,0.138218,0.588082,1.700444,0
3653,2543,0,31710,23994,0.569259,1,0.074242,1,0.925758,0.138222,0.588065,1.700493,0
3654,2543,0,31709,23995,0.569241,1,0.074244,1,0.925756,0.138225,0.588047,1.700543,0
3655,2543,0,31708,23996,0.569223,1,0.074246,1,0.925754,0.138229,0.58803,1.700593,0
3656,2543,0,31707,23997,0.569205,1,0.074248,1,0.925752,0.138233,0.588013,1.700642,0
3657,2543,0,31706,23998,0.569187,1,0.07425,1,0.92575,0.138237,0.587996,1.700692,0
3658,2543,0,31705,23999,0.569169,1,0.074253,1,0.925747,0.13824,0.587979,1.700742,0
3659,2543,0,31704,24000,0.569151,1,0.074255,1,0.925745,0.138244,0.587962,1.700791,0
3660,2543,0,31703,24001,0.569133,1,0.074257,1,0.925743,0.138248,0.587944,1.700841,0
3661,2543,0,31702,24002,0.569115,1,0.074259,1,0.925741,0.138252,0.587927,1.700891,0
3662,2543,0,31701,24003,0.569097,1,0.074261,1,0.925739,0.138255,0.58791,1.70094,0
3663,2543,0,31700,24004,0.569079,1,0.074263,1,0.925737,0.138259,0.587893,1.70099,0
3664,2543,0,31699,24005,0.569061,1,0.074266,1,0.925734,0.138263,0.587876,1.70104,0
3665,2543,0,31698,24006,0.569044,1,0.074268,1,0.925732,0.138267,0.587859,1.701089,0
3666,2543,0,31697,24007,0.569026,1,0.07427,1,0.92573,0.13827,0.587841,1.701139,0
3667,2543,0,31696,24008,0.569008,1,0.074272,1,0.925728,0.138274,0.587824,1.701189,0
3668,2543,0,31695,24009,0.56899,1,0.074274,1,0.925726,0.138278,0.587807,1.701238,0
3669,2543,0,31694,24010,0.568972,1,0.074276,1,0.925724,0.138282,0.58779,1.701288,0
3670,2543,0,31693,24011,0.568954,1,0.074279,1,0.925721,0.138285,0.587773,1.701338,0
3671,2543,0,31692,24012,0.568936,1,0.074281,1,0.925719,0.138289,0.587756,1.701387,0
3672,2543,0,31691,24013,0.568918,1,0.074283,1,0.925717,0.138293,0.587738,1.701437,0
3673,2543,0,31690,24014,0.5689,1,0.074285,1,0.925715,0.138297,0.587721,1.701487,0
3674,2543,0,31689,24015,0.568882,1,0.074287,1,0.925713,0.1383,0.587704,1.701537,0
3675,2543,0,31688,24016,0.568864,1,0.074289,1,0.925711,0.138304,0.587687,1.701586,0
3676,2543,0,31687,24017,0.568846,1,0.074292,1,0.925708,0.138308,0.58767,1.701636,0
3677,2543,0,31686,24018,0.568828,1,0.074294,1,0.925706,0.138312,0.587653,1.701686,0
3678,2543,0,31685,24019,0.56881,1,0.074296,1,0.925704,0.138316,0.587635,1.701735,0
3679,2543,0,31684,24020,0.568792,1,0.074298,1,0.925702,0.138319,0.587618,1.701785,0
3680,2543,0,31683,24021,0.568774,1,0.0743,1,0.9257,0.138323,0.587601,1.701835,0
3681,2543,0,31682,24022,0.568756,1,0.074302,1,0.925698,0.138327,0.587584,1.701885,0
3682,2543,0,31681,24023,0.568738,1,0.074305,1,0.925695,0.138331,0.587567,1.701934,0
3683,2543,0,31680,24024,0.56872,1,0.074307,1,0.925693,0.138334,0.58755,1.701984,0
3684,2543,0,31679,24025,0.568702,1,0.074309,1,0.925691,0.138338,0.587532,1.702034,0
3685,2543,0,31678,24026,0.568684,1,0.074311,1,0.925689,0.138342,0.587515,1.702084,0
3686,2543,0,31677,24027,0.568667,1,0.074313,1,0.925687,0.138346,0.587498,1.702133,0
3687,2543,0,31676,24028,0.568649,1,0.074315,1,0.925685,0.138349,0.587481,1.702183,0
3688,2543,0,31675,24029,0.568631,1,0.074318,1,0.925682,0.138353,0.587464,1.702233,0
3689,2543,0,31674,24030,0.568613,1,0.07432,1,0.92568,0.138357,0.587447,1.702282,0
3690,2543,0,31673,24031,0.568595,1,0.074322,1,0.925678,0.138361,0.587429,1.702332,0
3691,2543,0,31672,24032,0.568577,1,0.074324,1,0.925676,0.138364,0.587412,1.702382,0
3692,2543,0,31671,24033,0.568559,1,0.074326,1,0.925674,0.138368,0.587395,1.702432,0
3693,2543,0,31670,24034,0.568541,1,0.074328,1,0.925672,0.138372,0.587378,1.702482,0
3694,2543,0,31669,24035,0.568523,1,0.074331,1,0.925669,0.138376,0.587361,1.702531,0
3695,2543,0,31668,24036,0.568505,1,0.074333,1,0.925667,0.138379,0.587344,1.702581,0
3696,2543,0,31667,24037,0.568487,1,0.074335,1,0.925665,0.138383,0.587326,1.702631,0
3697,2543,0,31666,24038,0.568469,1,0.074337,1,0.925663,0.138387,0.587309,1.702681,0
3698,2543,0,31665,24039,0.568451,1,0.074339,1,0.925661,0.138391,0.587292,1.70273,0
3699,2543,0,31664,24040,0.568433,1,0.074342,1,0.925658,0.138395,0.587275,1.70278,0
3700,2543,0,31663,24041,0.568415,1,0.074344,1,0.925656,0.138398,0.587258,1.70283,0
3701,2543,0,31662,24042,0.568397,1,0.074346,1,0.925654,0.138402,0.587241,1.70288,0
3702,2543,0,31661,24043,0.568379,1,0.074348,1,0.925652,0.138406,0.587223,1.702929,0
3703,2543,0,31660,24044,0.568361,1,0.07435,1,0.92565,0.13841,0.587206,1.702979,0
3704,2543,0,31659,24045,0.568343,1,0.074352,1,0.925648,0.138413,0.587189,1.703029,0
3705,2543,0,31658,24046,0.568325,1,0.074355,1,0.925645,0.138417,0.587172,1.703079,0
3706,2543,0,31657,24047,0.568307,1,0.074357,1,0.925643,0.138421,0.587155,1.703129,0
3707,2543,0,31656,24048,0.56829,1,0.074359,1,0.925641,0.138425,0.587138,1.703178,0
3708,2543,0,31655,24049,0.568272,1,0.074361,1,0.925639,0.138428,0.58712,1.703228,0
3709,2543,0,31654,24050,0.568254,1,0.074363,1,0.925637,0.138432,0.587103,1.703278,0
3710,2543,0,31653,24051,0.568236,1,0.074365,1,0.925635,0.138436,0.587086,1.703328,0
3711,2543,0,31652,24052,0.568218,1,0.074368,1,0.925632,0.13844,0.587069,1.703378,0
3712,2543,0,31651,24053,0.5682,1,0.07437,1,0.92563,0.138444,0.587052,1.703428,0
